Paises,Urls
Algeria,https://en.wikipedia.org/wiki/List_of_universities_in_Algeria
Angola,https://en.wikipedia.org/wiki/List_of_universities_in_Angola
Benin,https://en.wikipedia.org/wiki/List_of_universities_in_Benin
Botswana,https://en.wikipedia.org/wiki/List_of_universities_in_Botswana
Burkina Faso,https://en.wikipedia.org/wiki/List_of_universities_in_Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/List_of_universities_in_Burundi
Cameroon,https://en.wikipedia.org/wiki/List_of_universities_in_Cameroon
Cape Verde,https://en.wikipedia.org/wiki/List_of_universities_in_Cape_Verde
Central African Republic,https://en.wikipedia.org/wiki/List_of_universities_in_the_Central_African_Republic
Chad,https://en.wikipedia.org/wiki/List_of_universities_in_Chad
Comoros,https://en.wikipedia.org/wiki/List_of_universities_in_Comoros
Congo,https://en.wikipedia.org/wiki/List_of_universities_in_the_Republic_of_the_Congo
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/List_of_universities_in_the_Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/List_of_universities_in_Djibouti
Egypt,https://en.wikipedia.org/wiki/List_of_universities_in_Egypt
Eritrea,https://en.wikipedia.org/wiki/List_of_universities_in_Eritrea
Ethiopia,https://en.wikipedia.org/wiki/List_of_universities_in_Ethiopia
Equatorial Guinea,https://en.wikipedia.org/wiki/List_of_universities_in_Equatorial_Guinea
Gabon,https://en.wikipedia.org/wiki/List_of_universities_in_Gabon
The Gambia,https://en.wikipedia.org/wiki/List_of_universities_in_the_Gambia
Ghana,https://en.wikipedia.org/wiki/List_of_universities_in_Ghana
Guinea,https://en.wikipedia.org/wiki/List_of_universities_in_Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/List_of_universities_in_Guinea-Bissau
Ivory Coast,https://en.wikipedia.org/wiki/List_of_universities_in_Ivory_Coast
Kenya,https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Kenya
Lesotho,https://en.wikipedia.org/wiki/List_of_universities_in_Lesotho
Liberia,https://en.wikipedia.org/wiki/List_of_universities_in_Liberia
Libya,https://en.wikipedia.org/wiki/List_of_universities_in_Libya
Madagascar,https://en.wikipedia.org/wiki/List_of_universities_in_Madagascar
Malawi,https://en.wikipedia.org/wiki/List_of_universities_in_Malawi
Mali,https://en.wikipedia.org/wiki/List_of_universities_in_Mali
Mauritania,https://en.wikipedia.org/wiki/List_of_universities_in_Mauritania
Mauritius,https://en.wikipedia.org/wiki/List_of_universities_in_Mauritius
Mozambique,https://en.wikipedia.org/wiki/List_of_universities_in_Mozambique
Namibia,https://en.wikipedia.org/wiki/List_of_universities_in_Namibia
Niger,https://en.wikipedia.org/wiki/List_of_universities_in_Niger
Nigeria,https://en.wikipedia.org/wiki/List_of_universities_in_Nigeria
Rwanda,https://en.wikipedia.org/wiki/List_of_universities_in_Rwanda
Senegal,https://en.wikipedia.org/wiki/List_of_universities_in_Senegal
Seychelles,https://en.wikipedia.org/wiki/List_of_universities_in_Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/List_of_universities_in_Sierra_Leone
Somalia,https://en.wikipedia.org/wiki/List_of_universities_in_Somalia
Somaliland,https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Somaliland
South Sudan,https://en.wikipedia.org/wiki/List_of_universities_in_South_Sudan
Sudan,https://en.wikipedia.org/wiki/List_of_universities_in_Sudan
South Africa,https://en.wikipedia.org/wiki/List_of_universities_in_South_Africa
Swaziland,https://en.wikipedia.org/wiki/List_of_universities_in_Swaziland
Tanzania,https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Tanzania
Togo,https://en.wikipedia.org/wiki/List_of_universities_in_Togo
Tunisia,https://en.wikipedia.org/wiki/List_of_universities_in_Tunisia
Uganda,https://en.wikipedia.org/wiki/List_of_universities_in_Uganda
Zambia,https://en.wikipedia.org/wiki/List_of_universities_in_Zambia
Zimbabwe,https://en.wikipedia.org/wiki/List_of_universities_in_Zimbabwe
Antigua and Barbuda,https://en.wikipedia.org/wiki/List_of_universities_in_Antigua_and_Barbuda
Barbados,https://en.wikipedia.org/wiki/List_of_universities_in_Barbados
Cayman Islands,https://en.wikipedia.org/wiki/List_of_universities_in_the_Cayman_Islands
Cuba,https://en.wikipedia.org/wiki/List_of_universities_in_Cuba
Dominica,https://en.wikipedia.org/wiki/List_of_universities_in_Dominica
Dominican Republic,https://en.wikipedia.org/wiki/List_of_universities_in_the_Dominican_Republic
Haiti,https://en.wikipedia.org/wiki/List_of_universities_in_Haiti
Jamaica,https://en.wikipedia.org/wiki/List_of_universities_in_Jamaica
Trinidad and Tobago,https://en.wikipedia.org/wiki/List_of_universities_in_Trinidad_and_Tobago
Belize,https://en.wikipedia.org/wiki/List_of_universities_in_Belize
Costa Rica,https://en.wikipedia.org/wiki/List_of_universities_in_Costa_Rica
El Salvador,https://en.wikipedia.org/wiki/List_of_universities_in_El_Salvador
Guatemala,https://en.wikipedia.org/wiki/List_of_universities_in_Guatemala
Honduras,https://en.wikipedia.org/wiki/List_of_universities_in_Honduras
Nicaragua,https://en.wikipedia.org/wiki/List_of_universities_in_Nicaragua
Panama,https://en.wikipedia.org/wiki/List_of_universities_in_Panama
Canada,https://en.wikipedia.org/wiki/List_of_universities_in_Canada
Mexico,https://en.wikipedia.org/wiki/List_of_universities_in_Mexico
United States,https://en.wikipedia.org/wiki/Lists_of_American_institutions_of_higher_education
Argentina,https://en.wikipedia.org/wiki/List_of_universities_in_Argentina
